danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dance_style
0.467,0.851,-4.203,0.0526,0.000353,0.0,0.33,0.644,93.873,Contemporary
0.609,0.926,-2.575,0.061,0.485,0.0,0.152,0.754,127.999,K-Pop
0.582,0.83,-2.266,0.0367,0.00241,0.0,0.101,0.419,129.872,K-Pop
0.368,0.261,-19.773,0.0564,0.966,0.804,0.104,0.198,133.232,Ballet
0.451,0.0767,-12.221,0.0402,0.979,0.0,0.129,0.333,139.586,Ballet
0.712,0.584,-6.303,0.107,0.0639,1.08e-06,0.199,0.891,180.082,Salsa
0.328,0.168,-23.253,0.0555,0.995,0.904,0.08,0.0895,96.467,Ballet
0.515,0.0781,-25.804,0.0437,0.986,0.844,0.164,0.273,101.393,Ballet
0.474,0.444,-8.896,0.0544,0.768,0.0,0.127,0.441,103.051,Salsa
0.863,0.854,-4.564,0.0893,0.0418,0.00152,0.0551,0.784,119.996,K-Pop
0.532,0.358,-11.136,0.0671,0.717,0.0,0.112,0.449,90.475,Contemporary
0.725,0.65,-7.937,0.0912,0.0719,2.15e-06,0.0783,0.714,169.614,Salsa
0.253,0.359,-8.482,0.0317,0.31,6.16e-06,0.359,0.115,115.348,Ballet
0.499,0.506,-6.019,0.0306,0.331,0.0,0.111,0.282,129.926,K-Pop
0.335,0.43,-5.364,0.0322,0.846,0.0,0.126,0.379,78.259,Contemporary
0.902,0.48,-7.684,0.087,0.154,0.000115,0.105,0.553,102.021,K-Pop
0.634,0.805,-7.269,0.0376,0.000968,0.00691,0.418,0.357,125.122,Breaking
0.687,0.526,-6.967,0.0377,0.000466,0.843,0.217,0.255,83.991,Ballet
0.653,0.421,-8.946,0.0313,0.6,0.0,0.084,0.712,75.971,K-Pop
0.567,0.154,-24.924,0.0351,0.992,0.906,0.099,0.673,119.797,Ballet
0.624,0.972,-5.689,0.0677,0.00789,0.319,0.443,0.502,125.445,Breaking
0.409,0.612,-6.437,0.0361,0.199,9.36e-06,0.144,0.367,147.886,K-Pop
0.515,0.583,-8.182,0.0284,0.749,0.000294,0.123,0.414,116.11,Ballet
0.748,0.58,-8.109,0.179,0.187,1.02e-06,0.111,0.528,98.0,Breaking
0.529,0.745,-6.716,0.0339,0.000935,0.00153,0.594,0.277,126.043,Salsa
0.51,0.68,-8.615,0.0315,0.00171,0.00332,0.146,0.385,114.024,Hip Hop
0.547,0.868,-3.443,0.0431,0.204,0.0,0.0546,0.791,197.712,K-Pop
0.396,0.485,-8.249,0.0344,0.615,0.0,0.151,0.739,62.518,Salsa
0.643,0.745,-6.953,0.0461,0.000122,0.648,0.0731,0.688,132.984,Breaking
0.609,0.258,-11.357,0.0464,0.942,0.332,0.126,0.0795,80.018,Ballet
0.781,0.905,-6.901,0.104,0.00149,2.86e-05,0.128,0.647,123.602,Breaking
0.64,0.939,-3.368,0.0421,0.068,0.0,0.0762,0.756,113.985,K-Pop
0.314,0.238,-8.802,0.0389,0.741,0.00193,0.128,0.303,72.535,Contemporary
0.654,0.82,-5.769,0.0648,0.00368,0.364,0.195,0.617,145.002,Breaking
0.677,0.351,-16.101,0.0509,0.838,0.0,0.0978,0.706,117.443,Ballet
0.483,0.844,-5.62,0.0833,0.0331,0.0,0.133,0.772,185.998,Contemporary
0.479,0.524,-5.829,0.0273,0.229,0.00115,0.203,0.194,145.017,Contemporary
0.303,0.648,-6.795,0.0512,0.642,0.053,0.407,0.644,170.379,Contemporary
0.551,0.59,-8.492,0.0621,0.0737,2.25e-05,0.112,0.128,102.14,K-Pop
0.555,0.901,-7.059,0.0359,0.00288,0.921,0.659,0.105,121.003,Hip Hop
0.648,0.751,-7.795,0.0276,0.185,0.000204,0.766,0.559,113.927,Hip Hop
0.508,0.0459,-22.484,0.0493,0.995,0.934,0.0984,0.0809,75.007,Ballet
0.725,0.725,-6.067,0.159,0.0119,0.0,0.086,0.515,140.003,Hip Hop
0.623,0.606,-9.288,0.0311,0.162,0.0772,0.109,0.204,87.979,Hip Hop
0.563,0.436,-9.327,0.0297,0.775,0.000218,0.702,0.361,142.948,Ballet
0.656,0.733,-6.127,0.0431,0.000616,0.864,0.0685,0.274,149.998,Breaking
0.666,0.815,-14.08,0.0526,0.0396,0.925,0.0825,0.688,137.818,Breaking
0.601,0.926,-2.413,0.0382,0.0255,1.97e-06,0.129,0.881,157.937,Salsa
0.351,0.533,-5.904,0.0291,0.634,0.0,0.413,0.266,90.002,Salsa
0.782,0.619,-9.832,0.129,0.235,1.09e-05,0.149,0.696,115.028,Contemporary
0.817,0.646,-4.886,0.129,0.159,0.0,0.0866,0.577,132.935,Salsa
0.727,0.679,-16.982,0.0581,0.000182,0.865,0.0919,0.886,124.006,Breaking
0.341,0.146,-21.088,0.0324,0.994,0.901,0.149,0.343,79.824,Ballet
0.623,0.484,-7.904,0.026,0.434,0.0,0.108,0.349,140.016,Contemporary
0.599,0.59,-9.135,0.0645,0.432,6.54e-06,0.397,0.402,146.022,Contemporary
0.209,0.0199,-26.368,0.0475,0.974,0.674,0.126,0.567,84.93,Ballet
0.526,0.424,-9.175,0.0364,0.000823,0.128,0.11,0.581,116.011,Breaking
0.743,0.74,-4.886,0.0467,0.381,0.0,0.322,0.875,141.972,Salsa
0.666,0.607,-6.623,0.0264,0.467,0.000116,0.249,0.624,138.15,K-Pop
0.794,0.592,-11.053,0.0427,0.202,0.00859,0.101,0.913,99.973,K-Pop
0.498,0.339,-20.523,0.0389,0.00373,0.81,0.168,0.429,174.582,Breaking
0.588,0.78,-6.102,0.0432,0.0333,0.193,0.0728,0.201,127.085,Breaking
0.698,0.443,-9.526,0.0459,0.391,0.0,0.086,0.931,136.803,Hip Hop
0.798,0.0677,-10.967,0.0967,0.9,0.962,0.106,0.324,170.021,Ballet
0.758,0.598,-5.695,0.0868,0.16,0.0,0.295,0.658,149.836,Contemporary
0.519,0.199,-22.841,0.0334,0.995,0.939,0.111,0.581,92.138,Ballet
0.865,0.658,-3.035,0.0797,0.214,4.47e-06,0.0325,0.713,90.012,Salsa
0.639,0.549,-7.992,0.044,0.616,0.0561,0.181,0.435,100.014,Hip Hop
0.806,0.405,-17.296,0.0968,0.375,0.917,0.0789,0.155,125.02,Breaking
0.514,0.565,-8.441,0.0334,0.00905,0.0,0.141,0.413,140.028,Breaking
0.814,0.663,-7.802,0.0565,0.121,0.0,0.587,0.815,125.03,K-Pop
0.437,0.0647,-19.045,0.0496,0.987,0.709,0.12,0.621,156.201,Ballet
0.686,0.762,-4.565,0.0423,0.0805,0.0,0.358,0.268,102.997,Breaking
0.762,0.402,-7.506,0.0347,0.319,0.718,0.327,0.237,90.944,Ballet
0.696,0.553,-12.287,0.0323,0.623,0.0343,0.119,0.459,127.934,Hip Hop
0.48,0.233,-9.407,0.0331,0.876,1.97e-06,0.0896,0.136,120.074,Ballet
0.54,0.802,-4.085,0.0473,0.000103,7.43e-06,0.179,0.553,152.018,K-Pop
0.401,0.58,-6.86,0.0541,0.906,0.217,0.134,0.526,173.277,Contemporary
0.595,0.407,-11.891,0.0349,0.153,0.91,0.0932,0.875,180.074,Breaking
0.651,0.501,-7.389,0.0434,0.903,0.609,0.0659,0.744,133.119,Salsa
0.69,0.745,-8.848,0.205,0.167,0.0,0.184,0.666,155.992,Hip Hop
0.454,0.942,-5.22,0.0638,0.00656,0.000111,0.353,0.0955,149.922,Breaking
0.823,0.886,-2.748,0.0391,0.095,0.0,0.203,0.655,127.916,Salsa
0.685,0.891,-7.9,0.0393,0.375,3.63e-06,0.391,0.627,120.668,Contemporary
0.764,0.618,-6.733,0.0508,0.489,0.0,0.0575,0.99,119.938,Hip Hop
0.504,0.49,-8.553,0.0279,0.323,0.807,0.0873,0.68,148.884,Contemporary
0.419,0.143,-20.779,0.035,0.967,0.697,0.287,0.241,112.069,Ballet
0.706,0.749,-4.23,0.0736,0.00883,0.529,0.0664,0.115,150.037,Breaking
0.704,0.329,-15.407,0.0636,0.4,0.828,0.124,0.597,84.002,Ballet
0.582,0.544,-11.236,0.0387,0.548,0.677,0.623,0.524,91.028,Ballet
0.459,0.727,-11.777,0.0303,0.00614,0.0652,0.384,0.955,149.231,Contemporary
0.624,0.464,-11.628,0.0247,0.358,0.00214,0.119,0.353,94.014,Salsa
0.461,0.704,-6.451,0.0377,0.00788,8.88e-06,0.148,0.25,98.539,Ballet
0.441,0.591,-6.785,0.0351,0.651,0.0,0.107,0.419,138.963,Salsa
0.275,0.491,-6.95,0.0375,0.891,0.0149,0.295,0.32,158.676,K-Pop
0.642,0.634,-7.573,0.0448,0.213,0.00898,0.216,0.35,156.15,Contemporary
0.345,0.976,-4.74,0.0487,0.000587,0.0507,0.487,0.818,181.121,Hip Hop
0.517,0.397,-14.094,0.0394,0.0817,0.767,0.353,0.17,83.773,Hip Hop
0.356,0.752,-6.76,0.0455,0.091,0.0,0.571,0.263,199.866,Hip Hop
0.661,0.954,-1.866,0.128,0.0519,0.000667,0.22,0.332,141.911,Breaking
0.552,0.346,-13.672,0.0617,0.875,0.485,0.117,0.342,119.168,Hip Hop
0.76,0.767,-7.586,0.0482,0.00344,0.759,0.519,0.816,123.324,Hip Hop
0.562,0.934,-5.562,0.0607,0.00211,0.0,0.199,0.558,103.042,Contemporary
0.659,0.712,-9.233,0.0263,0.00673,0.00128,0.17,0.857,139.678,Hip Hop
